1st Target:,UB,UR,UF,UL,LU,LF,LD,LB,FU,FR,FD,FL,RU,RB,RD,RF,BL,BD,BR,DF,DR,DB,DL
FL,,"[U , R E2 R']",,"[u' : [L E' L' , U]]","[L u' L : [E' , L2']]",,"[S' U R : [E , R2']]","[E , L' U' L]",,"[R' U R : [E , R2']]","[U' : [L' , U' M' U]]",,"[M : [U' , R' E R]]","[L2' : [E , L U' L']]","[R E : [R' U R , E]]","[E' , L' U' L]","[U L' : [S' , L2]]","[U' L' U , M]","[R U R : [E , R2']]","[U' L' U , M2]","[U R : [E , R2']]","[U D' R : [E , R2']]",L' U L U L U L' U' L' U'
RU,,,,"[R U' R' , S']","[M' U' : [M , U2]]","[R' B' : [R2 , E]]","[R' B' R : [S' , R2']]","[M' L U' : [M , U2']]",,"[R' u R : [E , R2']]",[M2 : (U' M' U' M) * 2],"[r' : [E , R U' R']]",,"[S' : [L' E L , U']]","[r D R : [S' , R2']]","[S' : [L E' L' , U']]","[R : [E' , r' U' r]]","[r' : [U' R U , M]]","[R U E R' : [E' , R2]]","[R M : [U' R' U , M2]]","[S' , R B' R']","[R' B : [R2 , E']]","[l : [R E' R' , U']]"
RB,,"[U' : [L' E L , U']]",,"[U' , L' E L]","[R' M' U' : [M , U2]]","[l U L : [E , L2']]","[S : [U' , L' E L]]","[U E L : [S' , L2']]",,"[R U R' , E']","[U' l' : [E , L U L']]","[L' : [U' , L' E L]]","[S' : [U' , L' E L]]",,"[U S U' , R]","[M U R' : [S , R2]]","[L U' L' , E]","[M : [U' R' U , M]]",,"[M : [U' R' U , M2]]","[U E R' : [E' , R2]]","[U r' U' : [L E' L' , U']]","[U' E' L' : [E' , L2]]"
RD,,"[U , R E R']",,"[U : [R E R' , U]]","[L B L : [S , L2']]","[S' : [R' E R , U]]","[l U' R : [E' , R2']]","[S' : [R E' R' , U]]",,"[U R u' : [R' U R , E']]","[U : [S' , R' F' R]]","[R E2 : [R' U R , E']]","[r' U R' : [S , R2]]","[R , U S U']",,"[R' , U S U']","[R' E2 : [R U R' , E]]","[r : [D' R' D , M]]","[R u R : [E , R2']]","[U : [R F' R' , S]]",,"[M U' : [S , R2']]","[S' , R' B' R]"
RF,,"[U' : [L E' L' , U']]",,"[U' , L E' L']","[L B : [E' , L2']]","[u' R' : [S , R2]]","[S : [U' , L E' L']]","[r' U' R : [E' , R2']]",,,"[U' L : [E' , l' U l]]","[L' U' L , E']","[S' : [U' , L E' L']]","[E R U R : [E' , R2']]","[U S U' , R']",,"[L : [U' , L E' L']]","[M : [U' R U , M]]","[R' U R , E]","[M : [U' R U , M2]]","[u R : [E , R2']]","[r' U' : [S , R2']]","[u' L : [E , L2']]"
BL,,"[U , R' E2 R]",,"[E' : [U' , L' E L]]","[r' U' : [r E' r' , U']]","[E' , L U' L']","[S' U R' : [E' , R2]]",,,"[R' U R' : [E' , R2]]","[U' : [L , U' M' U]]","[U L : [S' , L2']]","[M : [U' , r E' r']]","[E , L U' L']","[R' E' : [R U R' , E']]","[L2 : [E' , L' U' L]]",,"[U' L U , M]","[R U R' : [E' , R2]]","[U' L U , M2]","[U R' : [E' , R2]]","[U L U' : [M , U2']]",L' U L U L U' L' U' L' U' L2
BD,,"[R : [M , U R' U']]",,"[L' : [M , U' L U]]","[l : [M , U L' U']]","[M2 : [U L' U' , M']]","[U' : [r' U' r , S]]","[M2 : [U L U' , M']]",,"[M , U R U']","[U : [M' U M , d2]]","[M , U' L' U]","[r' M : [U' R U , M']]","[M2 : [U' R' U , M']]","[U : [l U l' , S']]","[M2 : [U' R U , M']]","[M , U' L U]",,"[M , U R' U']","[D' : [S' , R' B' R]]","[U' L B' L : [S , L2']]",,"[U R' B R' : [S' , R2]]"
BR,,"[E : [U , R E' R']]",,"[U' , L E2' L']]","[M : [U , l' E l]]","[R2' : [E , R U R']]","[D' : [U R' U' , M]]","[E' , R' U R]",,"[U' R' : [S , R2]]","[U : [R' , U M' U']]","[R U R' : [E , R2]]","[R U E R : [E' , R2']]",,"[R u R' : [E , R2]]","[E , R' U R]","[R U R : [E' , R2']]","[U R' U' , M]",,"[U R' U' , M2]",R U' R' U' R' U R U R U R2',"[U' R' U : [M , U2]]","[U' L : [E , L2']]"
DF,,"[r M' : [U R' U' , M2]]",,"[l' M' : [U' L U , M2]]","[l' : [U L U' , M2]]","[M' : [U L' U' , M2]]","[U' : [S' , L' F L]]","[M' : [U L U' , M2]]",,"[M2 , U R U']",,"[M2 , U' L' U]","[r : [U' R' U , M2]]","[M' : [U' R' U , M2]]","[U : [S , R F' R']]","[M' : [U' R U , M2]]","[M2 , U' L U]","[D' : [R' B' R , S']]","[M2 , U R' U']",,"[U R' D' R : [S' , R2']]","[M2 : [U2 , M']]",U R D R' D' R' D' R' D R D U'
DR,,"[R' U' R' : [S , R2]]",,U' R' U' R U R U R U' R',"[r' : [U , L' E L]]","[u R : [E' , R2']]","[L B L' , S]","[U E R' : [E , R2]]",,U' R' U' R' U R U R U R',"[U' R' F' R' : [S , R2]]","[U R' : [E , R2]]","[R B' R' , S']","[U E R : [E' , R2']]",,"[u R' : [E , R2]]","[U R : [E' , R2']]","[U' L B' L' : [S , L2]]",R2 U' R' U' R' U' R U R U R',"[U R' D' R' : [S' , R2]]",,"[U R' D R' : [S' , R2]]","[U : [R2' , S']]"
